number;lat;lng
187;45.40023;-122.2777
13037;45.4861;-122.277
37885;48.10255;-122.2763
455;42.47;-122.275
1776;46.55861;-122.2739
1777;46.55861;-122.2739
7481;46.79955;-122.2738
5350;44.8623;-122.2728
27803;46.84748;-122.2719
4630;41.21361;-122.2703
17178;49.84818;-122.2674
49869;46.86113;-122.2669
33908;48.92928;-122.2638
17220;48.1864;-122.2612
5053;45.4684;-122.2487
24310;47.1787;-122.2484
65464;45.74796;-122.2389
1652;45.74639;-122.2375
8777;47.0958;-122.2356
24882;44.95023;-122.2347
13115;45.74715;-122.2339
15540;40.8833;-122.2333
3820;42.4356;-122.2328
28788;47.17295;-122.2214
10948;48.78336;-122.2196
7483;47.39;-122.2187
5771;48.76075;-122.2156
28308;48.308;-122.215
43757;48.27656;-122.2138
1645;46.27583;-122.2083
35812;46.53686;-122.202
62354;48.92982;-122.2018
4380;46.7002;-122.1983
24562;47.75034;-122.1979
1612;46.06333;-122.1967
12021;43.31815;-122.1954
12138;47.275;-122.195
20923;46.11887;-122.1931
270;46.04722;-122.1914
391;47.79111;-122.1914
3624;45.55364;-122.1884
12156;44.699;-122.1874
1724;47.1772;-122.1852
59279;48.48157;-122.1845
1730;47.2416;-122.1833
65388;46.4125;-122.182
9248;43.3622;-122.1814
1383;47.29944;-122.1806
7731;39.92778;-122.1781
1600;46.71833;-122.1767
12523;45.4549;-122.1761
6831;50.80041;-122.1751
1685;46.9974;-122.1694
67407;46.13657;-122.1692
30670;47.7925;-122.1676
14323;40.75;-122.1675
11496;40.75;-122.1667
1749;48.8178;-122.1656
3400;46.766;-122.1652
624;44.99745;-122.1647
657;44.9979;-122.1631
8025;42.8673;-122.1629
51499;47.172;-122.1625
1650;46.15194;-122.1572
38413;47.06045;-122.157
1684;48.78056;-122.1483
65641;48.84984;-122.1455
1644;46.385;-122.1379
38224;48.11308;-122.1375
44489;47.8465;-122.1357
36370;44.40946;-122.1322
10646;46.3751;-122.1301
1904;46.10861;-122.1283
34479;47.6633;-122.1253
23614;46.75468;-122.1183
13642;49.4068;-122.1171
56232;47.1862;-122.1054
17847;47.6597;-122.105
44989;45.1518;-122.1032
59668;40.7729;-122.1024
7366;43.6165;-122.1
1671;48.11556;-122.0958
11818;44.7679;-122.095
1731;47.0945;-122.0874
1778;43.5883;-122.0833
9352;43.08929;-122.0802
44946;47.34072;-122.0775
46769;47.1352;-122.0669
26759;46.81398;-122.0571
27923;46.75225;-122.0566
1647;46.17861;-122.0514
4595;44.23861;-122.0505
65864;46.33448;-122.0504
20591;46.74621;-122.0467
1387;47.5103;-122.0456
11304;43.6947;-122.0449
1673;47.9817;-122.0447
4403;47.40667;-122.0375
24373;46.39019;-122.0303
12655;46.75861;-122.0297
16364;47.01562;-122.0282
4779;46.3105;-122.028
9128;48.21095;-122.0262
4985;46.5256;-122.0252
10258;48.9294;-122.0247
36310;46.75953;-122.0246
1651;45.62778;-122.0194
1766;46.10444;-122.015
1621;45.66194;-122.0144
1077;47.8925;-122.0111
13232;54.23708;-122.0064
42736;48.93228;-121.9995
40371;45.63921;-121.9883
14305;47.7393;-121.9749
3585;47.85556;-121.9697
9289;44.4625;-121.9683
39858;48.0835;-121.9683
23170;48.11509;-121.9677
4859;47.288;-121.9658
24826;45.0295;-121.9584
1529;48.0028;-121.9572
24612;47.00008;-121.9563
44474;46.77641;-121.9557
14841;45.3207;-121.9547
21154;44.15568;-121.9531
673;44.27795;-121.9524
9946;46.05;-121.95
13597;42.23865;-121.9446
1670;48.2475;-121.9425
26255;47.13485;-121.9418
14329;49.24;-121.94
24714;46.48441;-121.936
12803;46.09035;-121.9313
66120;46.1725;-121.9305
1382;47.2831;-121.9258
8339;46.3105;-121.9256
63324;45.80191;-121.9223
28307;45.83632;-121.921
6559;46.21583;-121.9192
5176;46.0969;-121.9191
13549;40.4999;-121.9167
12216;45.33;-121.9165
849;40.33556;-121.9139
3441;45.33175;-121.9139
109;45.65125;-121.9123
37044;43.48257;-121.9104
58461;46.47816;-121.9103
4738;45.8083;-121.9063
23017;48.105;-121.905
4335;47.6068;-121.9008
7298;43.5705;-121.8955
8597;47.87725;-121.8943
9447;47.16145;-121.8943
2558;40.4925;-121.8881
7593;45.723;-121.8864
5816;45.2075;-121.886
7785;43.8628;-121.8829
15888;50.94152;-121.8785
69291;40.45787;-121.8765
21473;46.40153;-121.8738
5100;45.63923;-121.8735
12916;48.35552;-121.8668
62403;48.56245;-121.8588
25882;48.13025;-121.851
9438;49.2605;-121.85
65223;49.40372;-121.8461
16691;37.055;-121.845
24631;45.31061;-121.8388
55658;46.43362;-121.8326
59331;48.37697;-121.8281
19937;46.74551;-121.8221
4604;45.49805;-121.8214
63078;40.64289;-121.8214
1589;47.05472;-121.8211
6027;44.6335;-121.8165
44368;48.09853;-121.8135
1669;47.8895;-121.8134
4323;48.2775;-121.8078
60;48.64056;-121.8053
61038;47.2255;-121.805
3024;46.1333;-121.8
7456;49.25;-121.8
3800;46.1036;-121.7944
37307;48.0744;-121.7915
1620;46.3341;-121.7913
36384;43.97603;-121.7828
9929;47.4352;-121.7812
1707;45.69833;-121.7753
1446;45.5666;-121.7745
1478;47.4317;-121.7731
1388;47.1826;-121.7713
1880;48.1278;-121.7692
24568;47.43534;-121.7666
62497;37.62124;-121.7587
59099;45.94002;-121.7582
26572;45.96578;-121.7576
1384;47.5225;-121.7569
1389;47.1998;-121.7565
65650;47.49488;-121.7555
9863;46.0803;-121.7512
10470;46.0189;-121.7476
63900;46.9805;-121.7464
4808;48.53944;-121.745
27473;47.57576;-121.7427
43911;48.07834;-121.7363
74793;45.96282;-121.7346
4637;40.53806;-121.7314
5610;44.42565;-121.726
1841;47.41;-121.725
25194;45.9216;-121.718
12292;36.3779;-121.7146
20197;38.4906;-121.7138
2026;45.32301;-121.7115
26718;45.8417;-121.7084
3786;46.08515;-121.7064
1721;48.2688;-121.705
11162;37;-121.7
6864;48.9058;-121.6967
28438;48.32675;-121.6962
9109;45.274;-121.6796
57962;45.24006;-121.6794
51753;47.6016;-121.6785
1722;48.21167;-121.6769
8784;40.88;-121.675
3518;48.86;-121.6738
22017;47.86405;-121.6738
35706;48.03114;-121.6708
29170;47.90079;-121.6692
9665;46.01665;-121.6669
3188;45.9667;-121.6667
1674;47.7853;-121.6647
74973;45.967;-121.6625
7038;46.7225;-121.6606
1815;47.1608;-121.6594
24755;47.48176;-121.6548
1043;45.75056;-121.6508
24039;49.16795;-121.6495
75290;40.59781;-121.6476
8680;45.5775;-121.6444
967;48.02611;-121.6406
11886;44.56625;-121.6384
7229;47.8573;-121.6352
7967;43.7151;-121.6347
24876;46.99857;-121.6321
30051;45.96112;-121.6314
5331;47.0019;-121.6279
4392;48.72917;-121.6278
65295;45.75957;-121.6267
6429;40.92911;-121.6156
13390;50.99847;-121.6101
58031;45.96384;-121.6095
14020;49.32014;-121.6064
31749;46.68102;-121.6014
10509;43.74251;-121.6009
18441;49.15235;-121.589
5452;46.67389;-121.5867
3202;46.67111;-121.5863
5453;46.6711;-121.5863
3050;45.3725;-121.5835
741;45.91694;-121.5825
9202;39.205;-121.58
16276;48.22336;-121.5777
15939;46.14853;-121.5775
23033;46.67816;-121.5763
55549;48.1917;-121.5757
986;45.81611;-121.5708
5242;45.25725;-121.5684
9121;47.40245;-121.5633
6990;47.0228;-121.5497
889;46.295;-121.5478
63738;45.54478;-121.5449
65538;46.71444;-121.5406
1386;47.3958;-121.5356
23062;47.55477;-121.5354
4452;47.0183;-121.5344
43823;46.46447;-121.5314
28898;47.12045;-121.5298
10397;47.485;-121.5287
14328;49.175;-121.525
75404;45.77766;-121.5189
41825;48.10892;-121.5186
22742;45.38736;-121.5134
3438;47.0466;-121.51
57182;46.6979;-121.5094
9368;39.55249;-121.5027
63779;44.16966;-121.5014
7334;36.2485;-121.495
14338;37.39555;-121.4871
16644;47.1144;-121.4844
8896;39.53722;-121.4822
23315;45.99935;-121.4821
35479;45.86883;-121.4813
7263;44.2157;-121.4755
43491;43.98136;-121.4705
1594;47.01278;-121.4642
1602;47.01278;-121.4642
1565;46.55139;-121.4625
21807;47.09685;-121.45
36647;48.04725;-121.4469
8670;47.46312;-121.4454
1385;47.425;-121.4317
37101;48.05305;-121.429
8621;45.4051;-121.424
36618;47.04433;-121.4234
7211;39.08;-121.42
956;47.425;-121.4142
58048;48.52395;-121.4105
9175;47.33515;-121.4044
26353;47.97205;-121.4008
13371;49.62125;-121.3976
27087;42.36945;-121.3866
1672;48.1472;-121.3819
412;43.94225;-121.3815
12997;48.66175;-121.3685
6527;47.8901;-121.3676
11702;46.74778;-121.3603
38046;48.02073;-121.3552
48652;48.13261;-121.3539
47161;48.43505;-121.3455
7658;44.1263;-121.3338
5172;56.3321;-121.3324
2047;48.2681;-121.3314
35539;49.06165;-121.323
58165;45.33935;-121.3226
15389;49.53402;-121.3222
46546;46.73581;-121.3201
3899;49.3402;-121.3177
4583;47.6181;-121.3114
3038;46.0722;-121.3055
382;46.8733;-121.3051
45360;46.85524;-121.3034
1462;46.87139;-121.2981
25999;46.52485;-121.2957
423;47.3178;-121.2802
2268;46.82167;-121.2764
4917;39.64306;-121.2733
62332;46.51122;-121.2719
1438;46.93333;-121.2692
74644;47.38253;-121.2636
22123;49.13644;-121.2607
3107;48.5149;-121.2543
26065;46.85;-121.25
63077;46.64558;-121.2323
3150;47.3338;-121.2309
1395;45.75806;-121.2303
12929;47.79222;-121.1958
26403;47.70178;-121.1859
26850;39.705;-121.18
5953;45.88039;-121.1692
2602;47.7117;-121.1544
12510;47.71167;-121.1544
9785;44.8464;-121.1537
1690;46.5602;-121.1458
57484;47.41704;-121.1417
47115;47.82636;-121.1057
5136;47.3991;-121.1008
1687;46.97944;-121.0939
77;46.98333;-121.0922
7117;46.80505;-121.0909
3612;38.90222;-121.0803
1996;47.2842;-121.0777
25009;37.475;-121.07
3759;46.621;-121.0638
12649;39.25396;-121.0517
21808;38.95285;-121.0479
65566;39.80825;-121.0456
175;47.47745;-121.0415
7804;39.26361;-121.0161
56932;47.20113;-121.0161
2037;39.94278;-121.0158
4885;39.26167;-121.015
28432;38.25;-121
5495;45.9358;-120.9855
65862;40.03728;-120.9851
45049;47.1902;-120.9783
75096;38.80643;-120.9699
13815;50.05149;-120.966
927;47.8498;-120.9591
70737;47.34432;-120.9477
69553;47.21551;-120.9383
15174;39.374;-120.914
8026;39.21667;-120.8983
1394;47.25722;-120.8908
3421;39.21278;-120.8908
1689;46.24639;-120.8681
925;47.495;-120.835
74829;40.37411;-120.8336
7363;39.5575;-120.8294
502;39.01917;-120.8275
56827;47.77559;-120.8206
2326;39.02028;-120.8169
31052;48.58177;-120.8032
1160;47.14472;-120.7967
47014;48.50999;-120.793
14534;48.19923;-120.7772
31427;48.19984;-120.7744
13063;47.74435;-120.7426
15039;40.43298;-120.7413
48932;47.72298;-120.7219
5186;47.8323;-120.718
11554;47.775;-120.715
629;38.30056;-120.7053
875;41.41;-120.6781
928;47.4644;-120.6705
1686;46.71444;-120.6694
74646;47.76061;-120.6681
3424;39.30056;-120.6672
21189;48.31199;-120.6599
15541;55.9027;-120.6502
45726;47.85691;-120.6502
69270;47.79538;-120.6295
69049;47.64581;-120.607
12518;38.9037;-120.6049
11656;38.90333;-120.6033
33793;48.9651;-120.5949
6868;38.76139;-120.5856
8595;38.72139;-120.5836
11948;38.91185;-120.5764
38013;44.83931;-120.5688
8650;38.71806;-120.5619
67451;47.18806;-120.554
27983;35.665;-120.55
36726;47.83843;-120.55
2255;41.48722;-120.5414
9051;38.39917;-120.5264
422;48.59694;-120.5122
49504;48.64185;-120.502
12451;53.59444;-120.4736
7331;39.11167;-120.4683
6347;46.4984;-120.4474
16550;39.41546;-120.4187
47165;38.77386;-120.4036
14407;39.50435;-120.3784
5477;38.20444;-120.3689
8226;38.25472;-120.3536
97;41.72278;-120.3292
9555;39.31917;-120.3275
5162;47.4822;-120.319
1109;47.29833;-120.3
2070;47.35305;-120.2955
3021;38.27194;-120.2867
10034;44.0639;-120.2782
1895;47.19944;-120.2758
3072;38.05;-120.2667
4946;39.3225;-120.2653
7299;38.03305;-120.2636
6160;38.31944;-120.2603
16722;38.015;-120.245
10980;38.0312;-120.2434
6130;38.99778;-120.2392
1919;38.03898;-120.2339
11313;47.2637;-120.2238
15821;38.86165;-120.2201
26258;38.79998;-120.2083
913;38.93;-120.205
11897;36.7818;-120.201
1090;38.06615;-120.1877
15197;38.23475;-120.1862
15344;39.0833;-120.1666
13487;48.45809;-120.1611
16631;48.45809;-120.1611
4649;38.18389;-120.1547
1055;38.86;-120.1358
24277;38.375;-120.125
1925;48.36361;-120.1211
9654;50.7395;-120.1173
1569;48.61972;-120.1075
5041;53.24;-120.105
3071;38.07584;-120.1039
11837;38.96;-120.0969
353;38.9575;-120.0914
3794;38.9575;-120.0914
3822;38.9575;-120.0914
13287;37.4583;-120.0833
21165;38.80435;-120.0825
10974;48.321;-120.0745
59054;50.83779;-120.0556
2309;38.1625;-120.0522
2310;38.1625;-120.0522
2333;38.05141;-120.0508
9898;38.45799;-120.0491
25648;38.03917;-120.0459
18403;38.20835;-120.0416
4366;38.45861;-120.0397
23974;38.09832;-120.0397
5104;38.46472;-120.0389
6639;38.85556;-120.0133
65978;38.21877;-120.0124
2311;38.19833;-120.0083
8463;38.4775;-120.0047
13236;34.60665;-120.0023
816;37.89917;-119.9997
4650;38.24805;-119.9924
1953;38.23243;-119.984
147;38.93333;-119.9833
919;38.93333;-119.9833
6746;38.93333;-119.9833
1301;38.19753;-119.9811
1955;38.19753;-119.9811
2887;38.19753;-119.9811
5692;39.592;-119.975
12818;38.6167;-119.9501
46809;48.44425;-119.9417
25444;34.73389;-119.9254
868;38.17677;-119.9065
2069;55.3;-119.9
7676;38.2395;-119.8792
13464;49.09555;-119.8664
23424;38.17625;-119.864
2886;38.26661;-119.8633
7097;37.81269;-119.8609
5909;39.00056;-119.8458
30459;48.6584;-119.8428
615;38.28085;-119.836
47872;48.57028;-119.8345
5791;38.77778;-119.8208
7336;38.77778;-119.8208
21563;49.73385;-119.8076
16448;38.3958;-119.801
24574;38.33115;-119.7853
16350;48.3912;-119.7595
5509;38.32417;-119.7519
10572;49.69263;-119.7497
1963;38.31722;-119.7489
1954;38.29116;-119.7275
431;38.14167;-119.7111
16994;48.9588;-119.7085
2600;48.95835;-119.7084
6712;48.9138;-119.7023
39610;48.57806;-119.6985
5697;39.679;-119.6665
5770;39.679;-119.6665
4900;53.08;-119.665
3455;39.29056;-119.6564
83;37.35944;-119.6436
116;45.83675;-119.6389
39181;38.51665;-119.6234
26821;50.46674;-119.5504
12383;38.3068;-119.5483
16518;48.94655;-119.5423
13613;38.29165;-119.54
13427;50.03625;-119.5143
15419;43.27355;-119.5089
10718;37.83074;-119.4626
4947;37.69639;-119.4275
65238;54.36361;-119.4058
1973;46.23361;-119.3172
24648;34.625;-119.2916
49896;38.04679;-119.2654
1510;38.04806;-119.2642
3672;37.91111;-119.2569
20594;37.90613;-119.2481
1496;37.23667;-119.2386
5418;37.23167;-119.235
24743;38.04165;-119.2167
865;37.23389;-119.2119
9296;37.23389;-119.2119
10127;53.53485;-119.2044
18913;50.35025;-119.2018
15135;48.32956;-119.187
17570;48.32956;-119.187
48777;48.64385;-119.182
10597;55.404;-119.152
65849;37.97761;-119.1291
27966;37.79337;-119.118
16142;48.71545;-119.0802
3105;37.78861;-119.0736
50659;48.40859;-119.0709
14166;50.42139;-119.0626
3605;37.33694;-119.0139
20306;37.5999;-119
23768;37.9333;-119
1068;37.35861;-118.9975
3623;48.40611;-118.9844
8487;37.5703;-118.972
4929;37.07944;-118.9689
8868;37.2725;-118.9656
12165;37.2804;-118.9614
48429;36.77763;-118.9604
2942;37.65028;-118.9592
13096;35.2673;-118.9591
5249;47.9093;-118.9505
1318;44.39104;-118.9491
17458;37.1303;-118.9386
15855;37.58325;-118.9166
5505;45.46571;-118.875
18325;37.28675;-118.8741
1229;36.10222;-118.8489
24956;50.3715;-118.8412
31488;45.48318;-118.83
6584;43.85975;-118.8215
24377;50.15078;-118.7952
65943;36.56304;-118.7729
10324;44.7751;-118.7717
13583;50.24532;-118.7652
9357;36.0438;-118.7402
57323;45.66721;-118.7056
3121;36.22306;-118.6744
42148;35.84503;-118.6331
67480;37.22716;-118.6271
25492;35.17748;-118.625
5650;45.58982;-118.6131
6922;36.4525;-118.6092
55451;48.93221;-118.609
5251;35.56805;-118.6078
10095;45.5789;-118.6016
7687;44.5385;-118.5908
25722;48.51673;-118.5905
27177;34.76666;-118.5834
6854;35.44986;-118.5821
15747;45.6764;-118.5658
15746;45.6605;-118.5654
26035;48.7844;-118.5545
15744;45.3712;-118.5518
