lat;lng;stateName;country
34.5422;-86.66465;Alabama;USA
34.71139;-86.6575;Alabama;USA
33.3674;-86.64066;Alabama;USA
34.4881;-86.6333;Alabama;USA
34.55946;-86.59747;Alabama;USA
32.184;-86.581;Alabama;USA
34.47091;-86.56954;Alabama;USA
32.4456;-86.5653;Alabama;USA
31.34781;-86.54527;Alabama;USA
34.7325;-86.52105;Alabama;USA
34.32279;-86.5045;Alabama;USA
33.59;-86.5;Alabama;USA
32.76967;-86.4891;Alabama;USA
33.6205;-86.4664;Alabama;USA
34.95605;-86.4559;Alabama;USA
32.48322;-86.37698;Alabama;USA
33.6332;-86.2952;Alabama;USA
31.29;-86.255;Alabama;USA
33.94175;-86.17965;Alabama;USA
34.27607;-86.17524;Alabama;USA
33.36305;-86.17122;Alabama;USA
33.00014;-86.00004;Alabama;USA
32.91874;-85.9793;Alabama;USA
30.993;-85.97701;Alabama;USA
31.85;-85.925;Alabama;USA
33.46345;-85.87055;Alabama;USA
34.04129;-85.86473;Alabama;USA
33.48665;-85.8175;Alabama;USA
34.56327;-85.79889;Alabama;USA
31.53475;-85.7944;Alabama;USA
33.24084;-85.7894;Alabama;USA
31.35;-85.7075;Alabama;USA
32.43;-85.705;Alabama;USA
33.35;-85.625;Alabama;USA
31.30503;-85.61766;Alabama;USA
33.7065;-85.57415;Alabama;USA
33.65175;-85.52335;Alabama;USA
33.12572;-85.49103;Alabama;USA
33.82162;-85.48985;Alabama;USA
32.6218;-85.4258;Alabama;USA
33.64341;-85.41961;Alabama;USA
31.86801;-85.35995;Alabama;USA
32.6825;-85.2222;Alabama;USA
31.23374;-85.21574;Alabama;USA
32.67715;-85.21545;Alabama;USA
31.651;-85.19265;Alabama;USA
32.31435;-85.16235;Alabama;USA
57.7566;-155.981;Alaska;USA
61.0595;-149.7853;Alaska;USA
61.09085;-149.7667;Alaska;USA
64.89139;-147.8142;Alaska;USA
61.96802;-145.3427;Alaska;USA
61.5;-142.9;Alaska;USA
63.98869;-142.7691;Alaska;USA
62.9375;-141.5667;Alaska;USA
62.77335;-141.3165;Alaska;USA
55.2035;-132.8202;Alaska;USA
55.1872;-132.7982;Alaska;USA
55.4555;-132.7333;Alaska;USA
34.55;-113.46;Arizona;USA
32.95;-112.73;Arizona;USA
33.3785;-112.6432;Arizona;USA
34.55154;-112.5421;Arizona;USA
34.45;-112.53;Arizona;USA
36.65;-112.24;Arizona;USA
36.74;-112.19;Arizona;USA
36.3431;-112.0934;Arizona;USA
34.7;-112.05;Arizona;USA
36.4;-112;Arizona;USA
35.656;-111.938;Arizona;USA
34.7706;-111.8907;Arizona;USA
35.241;-111.8634;Arizona;USA
35.30685;-111.7141;Arizona;USA
35.33069;-111.7101;Arizona;USA
34.67245;-111.7099;Arizona;USA
35.09;-111.7;Arizona;USA
33.85;-111.69;Arizona;USA
35.3;-111.675;Arizona;USA
35.1394;-111.6259;Arizona;USA
34.96295;-111.5228;Arizona;USA
34.4;-111.5;Arizona;USA
34.375;-111.4925;Arizona;USA
34.575;-111.4;Arizona;USA
34.425;-111.375;Arizona;USA
34.515;-111.375;Arizona;USA
34.43542;-111.3164;Arizona;USA
34.28939;-111.1367;Arizona;USA
34.43951;-111.0946;Arizona;USA
34.475;-111.08;Arizona;USA
34.4274;-110.9986;Arizona;USA
34.35;-110.98;Arizona;USA
34.34;-110.9725;Arizona;USA
34.33335;-110.9583;Arizona;USA
33.825;-110.925;Arizona;USA
34.275;-110.85;Arizona;USA
34.90831;-110.8403;Arizona;USA
34.24228;-110.5712;Arizona;USA
34.0425;-110.4829;Arizona;USA
33.99989;-110.4298;Arizona;USA
31.99003;-110.1835;Arizona;USA
31.63;-110.177;Arizona;USA
32.65;-110.175;Arizona;USA
34.1;-110.165;Arizona;USA
34.285;-110.11;Arizona;USA
34.27139;-110.0632;Arizona;USA
34;-110;Arizona;USA
32.70722;-109.9648;Arizona;USA
32.7071;-109.9643;Arizona;USA
32.70631;-109.9134;Arizona;USA
33.988;-109.7452;Arizona;USA
32.815;-109.675;Arizona;USA
34.325;-109.64;Arizona;USA
32.42445;-109.5601;Arizona;USA
34.6;-109.44;Arizona;USA
36.09081;-109.4276;Arizona;USA
33.9;-109.355;Arizona;USA
33.6247;-109.3191;Arizona;USA
36.54165;-109.29;Arizona;USA
35.175;-109.25;Arizona;USA
35.97;-109.155;Arizona;USA
36.28;-109.14;Arizona;USA
36.225;-109.11;Arizona;USA
36.39135;-109.0612;Arizona;USA
36.14505;-108.8548;Arizona;USA
36.0605;-108.84;Arizona;USA
34.70694;-94.45417;Arkansas;USA
36.18333;-94.44694;Arkansas;USA
34.021;-94.4435;Arkansas;USA
34.4415;-94.4325;Arkansas;USA
34.0775;-94.4095;Arkansas;USA
34.4082;-94.38045;Arkansas;USA
34.369;-94.3745;Arkansas;USA
33.76986;-94.3643;Arkansas;USA
35.09306;-94.356;Arkansas;USA
34.08204;-94.3457;Arkansas;USA
34.03789;-94.32321;Arkansas;USA
36.20611;-94.23417;Arkansas;USA
35.36335;-94.229;Arkansas;USA
34.61197;-94.21684;Arkansas;USA
34.4125;-94.1125;Arkansas;USA
33.94073;-94.09966;Arkansas;USA
36.25639;-94.07806;Arkansas;USA
35.1759;-94.0679;Arkansas;USA
33.387;-94.036;Arkansas;USA
33.33171;-93.98622;Arkansas;USA
33.18639;-93.9475;Arkansas;USA
36.34167;-93.94583;Arkansas;USA
36.13361;-93.94389;Arkansas;USA
33.14759;-93.89135;Arkansas;USA
33.26666;-93.886;Arkansas;USA
33.31194;-93.8417;Arkansas;USA
35.9975;-93.83426;Arkansas;USA
36.34389;-93.76;Arkansas;USA
36.31519;-93.75723;Arkansas;USA
35.34572;-93.75313;Arkansas;USA
36.41;-93.74;Arkansas;USA
33.66554;-93.56799;Arkansas;USA
36.1655;-93.5515;Arkansas;USA
35.06144;-93.45042;Arkansas;USA
36.3025;-93.448;Arkansas;USA
35.15193;-93.42848;Arkansas;USA
34.39;-93.23111;Arkansas;USA
35.186;-93.206;Arkansas;USA
33.88861;-93.20389;Arkansas;USA
35.55535;-93.1716;Arkansas;USA
34.31611;-93.17056;Arkansas;USA
34.285;-93.162;Arkansas;USA
36.042;-93.1545;Arkansas;USA
35.42097;-93.15208;Arkansas;USA
36.39835;-93.14626;Arkansas;USA
35.27833;-93.13361;Arkansas;USA
36.3881;-93.1073;Arkansas;USA
34.25;-93.1;Arkansas;USA
34.44652;-93.07654;Arkansas;USA
34.08;-93;Arkansas;USA
35.8019;-92.943;Arkansas;USA
34.73147;-92.75093;Arkansas;USA
34.52473;-92.70348;Arkansas;USA
33.26462;-92.64066;Arkansas;USA
36.29871;-92.63179;Arkansas;USA
33.14663;-92.61493;Arkansas;USA
34.56444;-92.58667;Arkansas;USA
34.47;-92.58;Arkansas;USA
34.20873;-92.57542;Arkansas;USA
36.36;-92.55472;Arkansas;USA
36.14065;-92.52505;Arkansas;USA
36.09306;-92.45677;Arkansas;USA
34.53167;-92.40778;Arkansas;USA
36.33528;-92.385;Arkansas;USA
36.19444;-92.38222;Arkansas;USA
34.86535;-92.3575;Arkansas;USA
34.55056;-92.34083;Arkansas;USA
33.1075;-92.33472;Arkansas;USA
34.92684;-92.30753;Arkansas;USA
36.38605;-92.30614;Arkansas;USA
34.92336;-92.30519;Arkansas;USA
36.37399;-92.27071;Arkansas;USA
34.85324;-92.25454;Arkansas;USA
36.37139;-92.25139;Arkansas;USA
36.4504;-92.2428;Arkansas;USA
34.56384;-92.22704;Arkansas;USA
34.87;-92.12;Arkansas;USA
33.82111;-92.03389;Arkansas;USA
35.07;-91.97;Arkansas;USA
36.37111;-91.87;Arkansas;USA
34.787;-91.735;Arkansas;USA
35.34737;-91.60007;Arkansas;USA
36.33205;-91.52025;Arkansas;USA
35.69958;-91.51528;Arkansas;USA
35.44944;-91.51306;Arkansas;USA
35.255;-91.50301;Arkansas;USA
33.40425;-91.48295;Arkansas;USA
35.703;-91.46231;Arkansas;USA
35.64861;-91.45889;Arkansas;USA
33.7985;-91.27056;Arkansas;USA
33.26855;-91.22115;Arkansas;USA
36.469;-91.154;Arkansas;USA
36.19791;-91.1125;Arkansas;USA
36.154;-91.09;Arkansas;USA
34.88111;-91.08056;Arkansas;USA
34.17376;-91.07266;Arkansas;USA
34.97181;-90.95902;Arkansas;USA
36.12083;-90.51056;Arkansas;USA
35.0194;-90.32;Arkansas;USA
35.14639;-90.18444;Arkansas;USA
35.738;-90.1355;Arkansas;USA
41.75611;-124.2006;California;USA
40.1;-124.2;California;USA
40.3;-124.2;California;USA
40.80222;-124.1625;California;USA
41.0773;-124.1461;California;USA
41.84998;-124.1417;California;USA
41.21385;-124.0687;California;USA
41.30056;-124.0644;California;USA
41.28694;-124.0586;California;USA
40.35259;-124.0101;California;USA
40.465;-124;California;USA
40.44307;-123.9863;California;USA
40.01142;-123.9122;California;USA
41.16;-123.9;California;USA
40.26639;-123.8692;California;USA
41.65;-123.85;California;USA
41.85526;-123.8435;California;USA
39.44583;-123.8042;California;USA
41.8607;-123.793;California;USA
41.89288;-123.7879;California;USA
40.03527;-123.7876;California;USA
39.22361;-123.7675;California;USA
41.37861;-123.7481;California;USA
40.85;-123.7;California;USA
41.0312;-123.669;California;USA
41.25;-123.6667;California;USA
41.23528;-123.6581;California;USA
40.94083;-123.6283;California;USA
40.85;-123.55;California;USA
40.20556;-123.4908;California;USA
39.68833;-123.4817;California;USA
41.65925;-123.4498;California;USA
39.06583;-123.4439;California;USA
39.51489;-123.3899;California;USA
41.8111;-123.375;California;USA
41.75;-123.35;California;USA
41.23598;-123.292;California;USA
40.7485;-123.2718;California;USA
38.51639;-123.24;California;USA
39.83929;-123.2393;California;USA
40.0625;-123.2208;California;USA
41.31917;-123.1778;California;USA
41.98645;-123.1749;California;USA
41.8333;-123.1668;California;USA
39.25;-123.15;California;USA
39.83;-123.115;California;USA
38.83996;-123.0585;California;USA
41.28996;-123.056;California;USA
41.82417;-122.9958;California;USA
40.9913;-122.8719;California;USA
40.6789;-122.8055;California;USA
40.63556;-122.7325;California;USA
38.75;-122.7;California;USA
41.1139;-122.7;California;USA
40.98333;-122.6986;California;USA
40.7333;-122.6667;California;USA
40.8333;-122.6417;California;USA
41.72944;-122.6361;California;USA
38.415;-122.585;California;USA
38.25583;-122.5833;California;USA
41.845;-122.575;California;USA
40.5835;-122.553;California;USA
41.45833;-122.4306;California;USA
40.58667;-122.3906;California;USA
41.42806;-122.3839;California;USA
40.8875;-122.3775;California;USA
40.755;-122.33;California;USA
40.7974;-122.278;California;USA
41.21361;-122.2703;California;USA
40.8833;-122.2333;California;USA
39.92778;-122.1781;California;USA
40.75;-122.1675;California;USA
40.75;-122.1667;California;USA
40.7729;-122.1024;California;USA
40.4999;-121.9167;California;USA
40.33556;-121.9139;California;USA
40.4925;-121.8881;California;USA
40.45787;-121.8765;California;USA
37.055;-121.845;California;USA
40.64289;-121.8214;California;USA
37.62124;-121.7587;California;USA
40.53806;-121.7314;California;USA
36.3779;-121.7146;California;USA
38.4906;-121.7138;California;USA
37;-121.7;California;USA
40.88;-121.675;California;USA
40.59781;-121.6476;California;USA
40.92911;-121.6156;California;USA
39.205;-121.58;California;USA
39.55249;-121.5027;California;USA
36.2485;-121.495;California;USA
37.39555;-121.4871;California;USA
39.53722;-121.4822;California;USA
39.08;-121.42;California;USA
39.64306;-121.2733;California;USA
39.705;-121.18;California;USA
38.90222;-121.0803;California;USA
37.475;-121.07;California;USA
39.25396;-121.0517;California;USA
38.95285;-121.0479;California;USA
39.80825;-121.0456;California;USA
39.26361;-121.0161;California;USA
39.94278;-121.0158;California;USA
39.26167;-121.015;California;USA
38.25;-121;California;USA
40.03728;-120.9851;California;USA
38.80643;-120.9699;California;USA
39.374;-120.914;California;USA
39.21667;-120.8983;California;USA
39.21278;-120.8908;California;USA
40.37411;-120.8336;California;USA
39.5575;-120.8294;California;USA
39.01917;-120.8275;California;USA
39.02028;-120.8169;California;USA
40.43298;-120.7413;California;USA
38.30056;-120.7053;California;USA
41.41;-120.6781;California;USA
39.30056;-120.6672;California;USA
38.9037;-120.6049;California;USA
38.90333;-120.6033;California;USA
38.76139;-120.5856;California;USA
38.72139;-120.5836;California;USA
38.91185;-120.5764;California;USA
38.71806;-120.5619;California;USA
35.665;-120.55;California;USA
41.48722;-120.5414;California;USA
38.39917;-120.5264;California;USA
39.11167;-120.4683;California;USA
39.41546;-120.4187;California;USA
38.77386;-120.4036;California;USA
39.50435;-120.3784;California;USA
38.20444;-120.3689;California;USA
38.25472;-120.3536;California;USA
41.72278;-120.3292;California;USA
39.31917;-120.3275;California;USA
38.27194;-120.2867;California;USA
38.05;-120.2667;California;USA
39.3225;-120.2653;California;USA
38.03305;-120.2636;California;USA
38.31944;-120.2603;California;USA
38.015;-120.245;California;USA
38.0312;-120.2434;California;USA
38.99778;-120.2392;California;USA
38.03898;-120.2339;California;USA
38.86165;-120.2201;California;USA
38.79998;-120.2083;California;USA
38.93;-120.205;California;USA
36.7818;-120.201;California;USA
38.06615;-120.1877;California;USA
38.23475;-120.1862;California;USA
39.0833;-120.1666;California;USA
38.18389;-120.1547;California;USA
38.86;-120.1358;California;USA
38.375;-120.125;California;USA
38.07584;-120.1039;California;USA
38.96;-120.0969;California;USA
38.9575;-120.0914;California;USA
37.4583;-120.0833;California;USA
38.80435;-120.0825;California;USA
38.1625;-120.0522;California;USA
38.05141;-120.0508;California;USA
38.45799;-120.0491;California;USA
38.03917;-120.0459;California;USA
38.20835;-120.0416;California;USA
38.09832;-120.0397;California;USA
38.45861;-120.0397;California;USA
38.46472;-120.0389;California;USA
38.85556;-120.0133;California;USA
38.21877;-120.0124;California;USA
38.19833;-120.0083;California;USA
38.4775;-120.0047;California;USA
34.60665;-120.0023;California;USA
37.89917;-119.9997;California;USA
38.24805;-119.9924;California;USA
38.23243;-119.984;California;USA
38.93333;-119.9833;California;USA
38.19753;-119.9811;California;USA
38.6167;-119.9501;California;USA
34.73389;-119.9254;California;USA
38.17677;-119.9065;California;USA
38.2395;-119.8792;California;USA
38.17625;-119.864;California;USA
38.26661;-119.8633;California;USA
37.81269;-119.8609;California;USA
38.28085;-119.836;California;USA
38.77778;-119.8208;California;USA
38.3958;-119.801;California;USA
38.33115;-119.7853;California;USA
38.32417;-119.7519;California;USA
38.31722;-119.7489;California;USA
38.29116;-119.7275;California;USA
38.14167;-119.7111;California;USA
37.35944;-119.6436;California;USA
38.51665;-119.6234;California;USA
38.3068;-119.5483;California;USA
38.29165;-119.54;California;USA
37.83074;-119.4626;California;USA
37.69639;-119.4275;California;USA
34.625;-119.2916;California;USA
38.04679;-119.2654;California;USA
38.04806;-119.2642;California;USA
37.91111;-119.2569;California;USA
37.90613;-119.2481;California;USA
37.23667;-119.2386;California;USA
37.23167;-119.235;California;USA
38.04165;-119.2167;California;USA
37.23389;-119.2119;California;USA
37.97761;-119.1291;California;USA
37.79337;-119.118;California;USA
37.78861;-119.0736;California;USA
37.33694;-119.0139;California;USA
37.5999;-119;California;USA
37.9333;-119;California;USA
37.35861;-118.9975;California;USA
37.5703;-118.972;California;USA
37.07944;-118.9689;California;USA
37.2725;-118.9656;California;USA
37.2804;-118.9614;California;USA
36.77763;-118.9604;California;USA
37.65028;-118.9592;California;USA
35.2673;-118.9591;California;USA
37.1303;-118.9386;California;USA
37.58325;-118.9166;California;USA
37.28675;-118.8741;California;USA
36.10222;-118.8489;California;USA
36.56304;-118.7729;California;USA
36.0438;-118.7402;California;USA
36.22306;-118.6744;California;USA
35.84503;-118.6331;California;USA
37.22716;-118.6271;California;USA
35.17748;-118.625;California;USA
36.4525;-118.6092;California;USA
35.56805;-118.6078;California;USA
34.76666;-118.5834;California;USA
35.44986;-118.5821;California;USA
37.17004;-118.5391;California;USA
36.05361;-118.5347;California;USA
37.76666;-118.5333;California;USA
36.10556;-118.5272;California;USA
34.66363;-118.4538;California;USA
34.6167;-118.4333;California;USA
35.75472;-118.4244;California;USA
35.5803;-118.3804;California;USA
35.95835;-118.375;California;USA
36.70835;-118.375;California;USA
37.15889;-118.3743;California;USA
35.51222;-118.3356;California;USA
35.12931;-118.3302;California;USA
34.25;-118.225;California;USA
36.07081;-118.2084;California;USA
36.1894;-118.1729;California;USA
36.1999;-118.1666;California;USA
36.05278;-118.1303;California;USA
36.79165;-118.125;California;USA
35.7;-117.9667;California;USA
34.2802;-117.8333;California;USA
34.28665;-117.3395;California;USA
34.33843;-117.1776;California;USA
32.71528;-117.1564;California;USA
34.04165;-117.0416;California;USA
33.32237;-116.8782;California;USA
33.2675;-116.8625;California;USA
34.2556;-116.7944;California;USA
33.7655;-116.7078;California;USA
33.66675;-116.7;California;USA
33.81678;-116.6329;California;USA
33.03662;-116.5645;California;USA
33.95002;-116.5333;California;USA
32.81075;-116.4208;California;USA
40.45418;-108.5417;Colorado;USA
37.33925;-108.3364;Colorado;USA
37.4625;-108.2083;Colorado;USA
37.4125;-108.1292;Colorado;USA
